name,address,operator,capacity,lat,lng
Sydney City Evie,"123 George St, Sydney NSW 2000",Evie,4,-33.8688,151.2093
Melbourne Central Chargefox,"300 Lonsdale St, Melbourne VIC 3000",Chargefox,6,-37.8115,144.9632
Brisbane Airport Tesla,"Airport Dr, Brisbane Airport QLD 4008",Tesla,8,-27.3888,153.1189
Perth CBD Ampol,"150 St Georges Tce, Perth WA 6000",Ampol,2,-31.9546,115.8573
Adelaide Jolt,"Victoria Square, Adelaide SA 5000",Jolt,2,-34.9285,138.6007
Hobart Missing Coord,"Salamanca Pl, Hobart TAS 7000",Chargefox,2,,
Darwin Fast,"1 Mitchell St, Darwin NT 0800",Evie,1,-12.4634,130.8456
Canberra Tesla Supercharger,"Majura Park, Canberra ACT 2609",Tesla,6,-35.306,149.1915
Dirty Address Station,"   404 Unknown St , Nowhere NSW 2999   ",Jolt,4,-33.1,150.1
Invalid Capacity,"100 Fake Rd, Sydney NSW 2000",Evie,-1,-33.8,151.2
